,Algorithm,Training size,N ligands explored,% top-k found
0,morgan_feat,8417,8417,0.003
1,morgan_feat,8417,16834,0.36
2,morgan_feat,8417,25251,0.769
3,morgan_feat,8417,33668,0.868
4,morgan_feat,8417,42085,0.899
5,morgan_feat,8417,50502,0.923
6,morgan_feat,4208,4208,0.001
7,morgan_feat,4208,8416,0.236
8,morgan_feat,4208,12624,0.573
9,morgan_feat,4208,16832,0.728
10,morgan_feat,4208,21040,0.816
11,morgan_feat,4208,25248,0.869
12,morgan_feat,2104,2104,0.0
13,morgan_feat,2104,4208,0.229
14,morgan_feat,2104,6312,0.438
15,morgan_feat,2104,8416,0.603
16,morgan_feat,2104,10520,0.714
17,morgan_feat,2104,12624,0.763
18,morgan_feat,8417,8417,0.003
19,morgan_feat,8417,16834,0.407
20,morgan_feat,8417,25251,0.774
21,morgan_feat,8417,33668,0.883
22,morgan_feat,8417,42085,0.917
23,morgan_feat,8417,50502,0.935
24,morgan_feat,4208,4208,0.002
25,morgan_feat,4208,8416,0.288
26,morgan_feat,4208,12624,0.496
27,morgan_feat,4208,16832,0.691
28,morgan_feat,4208,21040,0.818
29,morgan_feat,4208,25248,0.868
30,morgan_feat,2104,2104,0.001
31,morgan_feat,2104,4208,0.161
32,morgan_feat,2104,6312,0.326
33,morgan_feat,2104,8416,0.524
34,morgan_feat,2104,10520,0.658
35,morgan_feat,2104,12624,0.731
36,morgan_feat,8417,8417,0.003
37,morgan_feat,8417,16834,0.406
38,morgan_feat,8417,25251,0.774
39,morgan_feat,8417,33668,0.885
40,morgan_feat,8417,42085,0.917
41,morgan_feat,8417,50502,0.94
42,morgan_feat,4208,4208,0.001
43,morgan_feat,4208,8416,0.265
44,morgan_feat,4208,12624,0.512
45,morgan_feat,4208,16832,0.718
46,morgan_feat,4208,21040,0.814
47,morgan_feat,4208,25248,0.875
48,morgan_feat,2104,2104,0.0
49,morgan_feat,2104,4208,0.245
50,morgan_feat,2104,6312,0.44
51,morgan_feat,2104,8416,0.596
52,morgan_feat,2104,10520,0.695
53,morgan_feat,2104,12624,0.749
